"team","metric.type","forecast.week","season","metric","location","data.type","prediction.target"
"glmnew","AE",44,"2005/2006",0,"sanjuan","train","peakinc"
"glmnew","AE",44,"2005/2006",21,"sanjuan","train","seasoninc"
"glmnew","LS",48,"2005/2006",-0.0496936139824346,"sanjuan","train","peakweek"
"glmnew","LS",48,"2005/2006",-0.0099404397052508,"sanjuan","train","peakinc"
"glmnew","LS",48,"2005/2006",-0.0099404397052508,"sanjuan","train","seasoninc"
"glmnew","AE",48,"2005/2006",0,"sanjuan","train","peakweek"
"glmnew","AE",48,"2005/2006",0,"sanjuan","train","peakinc"
"glmnew","AE",48,"2005/2006",3,"sanjuan","train","seasoninc"
"glmnew","LS",0,"2006/2007",-3.17425875937939,"sanjuan","train","peakweek"
"glmnew","LS",0,"2006/2007",-0.686247202469949,"sanjuan","train","peakinc"
"glmnew","LS",0,"2006/2007",-0.285376785740095,"sanjuan","train","seasoninc"
"glmnew","AE",0,"2006/2007",5,"sanjuan","train","peakweek"
"glmnew","AE",0,"2006/2007",16,"sanjuan","train","peakinc"
"glmnew","AE",0,"2006/2007",136.5,"sanjuan","train","seasoninc"
"glmnew","LS",4,"2006/2007",-2.66116298707886,"sanjuan","train","peakweek"
"glmnew","LS",4,"2006/2007",-1.0051922133822,"sanjuan","train","peakinc"
"glmnew","LS",4,"2006/2007",-0.408436878497322,"sanjuan","train","seasoninc"
"glmnew","AE",4,"2006/2007",5,"sanjuan","train","peakweek"
"glmnew","AE",4,"2006/2007",22,"sanjuan","train","peakinc"
"glmnew","AE",4,"2006/2007",240,"sanjuan","train","seasoninc"
"glmnew","LS",8,"2006/2007",-2.75874331541773,"sanjuan","train","peakweek"
"glmnew","LS",8,"2006/2007",-1.1503742232267,"sanjuan","train","peakinc"
"glmnew","LS",8,"2006/2007",-0.45410691533051,"sanjuan","train","seasoninc"
"glmnew","AE",8,"2006/2007",1,"sanjuan","train","peakweek"
"glmnew","AE",8,"2006/2007",25,"sanjuan","train","peakinc"
"glmnew","AE",8,"2006/2007",279,"sanjuan","train","seasoninc"
"glmnew","LS",12,"2006/2007",-2.60494984223831,"sanjuan","train","peakweek"
"glmnew","LS",12,"2006/2007",-0.0675102915267287,"sanjuan","train","peakinc"
