"team","metric.type","forecast.week","season","metric","location","data.type","prediction.target"
"new","LS",48,"2005/2006",0,"sanjuan","train","seasoninc"
"new","AE",48,"2005/2006",0,"sanjuan","train","peakweek"
"new","AE",48,"2005/2006",0,"sanjuan","train","peakinc"
"new","AE",48,"2005/2006",4.03197007348581,"sanjuan","train","seasoninc"
"new","LS",0,"2006/2007",-3.24330072957272,"sanjuan","train","peakweek"
"new","LS",0,"2006/2007",-1.45014014672616,"sanjuan","train","peakinc"
"new","LS",0,"2006/2007",-0.978058167811346,"sanjuan","train","seasoninc"
"new","AE",0,"2006/2007",3,"sanjuan","train","peakweek"
"new","AE",0,"2006/2007",35.1445431937993,"sanjuan","train","peakinc"
"new","AE",0,"2006/2007",510.409245465017,"sanjuan","train","seasoninc"
"new","LS",4,"2006/2007",-3.50070531054196,"sanjuan","train","peakweek"
"new","LS",4,"2006/2007",-2.02921737843224,"sanjuan","train","peakinc"
"new","LS",4,"2006/2007",-1.2923540867267,"sanjuan","train","seasoninc"
"new","AE",4,"2006/2007",3,"sanjuan","train","peakweek"
"new","AE",4,"2006/2007",43.1094913996164,"sanjuan","train","peakinc"
"new","AE",4,"2006/2007",649.847934887346,"sanjuan","train","seasoninc"
"new","LS",8,"2006/2007",-2.88598794412092,"sanjuan","train","peakweek"
"new","LS",8,"2006/2007",-0.675844145252484,"sanjuan","train","peakinc"
"new","LS",8,"2006/2007",-0.472764238332556,"sanjuan","train","seasoninc"
"new","AE",8,"2006/2007",3,"sanjuan","train","peakweek"
"new","AE",8,"2006/2007",14.700773090638,"sanjuan","train","peakinc"
"new","AE",8,"2006/2007",174.08941891634,"sanjuan","train","seasoninc"
"new","LS",12,"2006/2007",-2.58870197495568,"sanjuan","train","peakweek"
"new","LS",12,"2006/2007",-0.117533327030208,"sanjuan","train","peakinc"
"new","LS",12,"2006/2007",-0.0946673355121403,"sanjuan","train","seasoninc"
"new","AE",12,"2006/2007",2,"sanjuan","train","peakweek"
"new","AE",12,"2006/2007",9.73623673432451,"sanjuan","train","peakinc"
"new","AE",12,"2006/2007",257.979601124247,"sanjuan","train","seasoninc"
"new","LS",16,"2006/2007",-2.95435369578562,"sanjuan","train","peakweek"
"new","LS",16,"2006/2007",-0.0644005328750959,"sanjuan","train","peakinc"
"new","LS",16,"2006/2007",-0.0608605649768903,"sanjuan","train","seasoninc"
"new","AE",16,"2006/2007",3,"sanjuan","train","peakweek"
"new","AE",16,"2006/2007",12.4667424255415,"sanjuan","train","peakinc"
"new","AE",16,"2006/2007",313.77876137255,"sanjuan","train","seasoninc"
"new","LS",20,"2006/2007",-2.71220501203404,"sanjuan","train","peakweek"
"new","LS",20,"2006/2007",-0.0716345170008313,"sanjuan","train","peakinc"
"new","LS",20,"2006/2007",-0.0648217992335705,"sanjuan","train","seasoninc"
"new","AE",20,"2006/2007",2,"sanjuan","train","peakweek"
"new","AE",20,"2006/2007",10,"sanjuan","train","peakinc"
"new","AE",20,"2006/2007",219.354316738164,"sanjuan","train","seasoninc"
"new","LS",24,"2006/2007",-0.17074681143787,"sanjuan","train","peakweek"
"new","LS",24,"2006/2007",-0.0564947268385691,"sanjuan","train","peakinc"
"new","LS",24,"2006/2007",-0.0492908509584291,"sanjuan","train","seasoninc"
"new","AE",24,"2006/2007",0,"sanjuan","train","peakweek"
"new","AE",24,"2006/2007",0,"sanjuan","train","peakinc"
"new","AE",24,"2006/2007",246.208237551976,"sanjuan","train","seasoninc"
"new","LS",28,"2006/2007",-0.259841816878283,"sanjuan","train","peakweek"
"new","LS",28,"2006/2007",-0.0951106506158042,"sanjuan","train","peakinc"
"new","LS",28,"2006/2007",-0.092087097272851,"sanjuan","train","seasoninc"
"new","AE",28,"2006/2007",0,"sanjuan","train","peakweek"
"new","AE",28,"2006/2007",0,"sanjuan","train","peakinc"
"new","AE",28,"2006/2007",106.087426933995,"sanjuan","train","seasoninc"
"new","LS",32,"2006/2007",-0.171021662852662,"sanjuan","train","peakweek"
"new","LS",32,"2006/2007",-0.0665963236305444,"sanjuan","train","peakinc"
"new","LS",32,"2006/2007",-0.0559222614026783,"sanjuan","train","seasoninc"
"new","AE",32,"2006/2007",0,"sanjuan","train","peakweek"
"new","AE",32,"2006/2007",0,"sanjuan","train","peakinc"
"new","AE",32,"2006/2007",120.202731967757,"sanjuan","train","seasoninc"
"new","LS",36,"2006/2007",-0.130647992178561,"sanjuan","train","peakweek"
"new","LS",36,"2006/2007",-0.0531422740584553,"sanjuan","train","peakinc"
"new","LS",36,"2006/2007",-0.037327070280041,"sanjuan","train","seasoninc"
"new","AE",36,"2006/2007",0,"sanjuan","train","peakweek"
"new","AE",36,"2006/2007",0,"sanjuan","train","peakinc"
"new","AE",36,"2006/2007",102.256597030283,"sanjuan","train","seasoninc"
"new","LS",40,"2006/2007",-0.099076788573699,"sanjuan","train","peakweek"
"new","LS",40,"2006/2007",-0.0301366827150616,"sanjuan","train","peakinc"
"new","LS",40,"2006/2007",-0.0171981982972207,"sanjuan","train","seasoninc"
"new","AE",40,"2006/2007",0,"sanjuan","train","peakweek"
"new","AE",40,"2006/2007",0,"sanjuan","train","peakinc"
"new","AE",40,"2006/2007",30.8813559586192,"sanjuan","train","seasoninc"
"new","LS",44,"2006/2007",-0.280735857662052,"sanjuan","train","peakweek"
"new","LS",44,"2006/2007",-0.0368440934609068,"sanjuan","train","peakinc"
"new","LS",44,"2006/2007",-0.0077645551702387,"sanjuan","train","seasoninc"
"new","AE",44,"2006/2007",0,"sanjuan","train","peakweek"
"new","AE",44,"2006/2007",0,"sanjuan","train","peakinc"
"new","AE",44,"2006/2007",80.55426731865,"sanjuan","train","seasoninc"
"new","LS",48,"2006/2007",-0.000280039207318817,"sanjuan","train","peakweek"
"new","LS",48,"2006/2007",0,"sanjuan","train","peakinc"
"new","LS",48,"2006/2007",0,"sanjuan","train","seasoninc"
"new","AE",48,"2006/2007",0,"sanjuan","train","peakweek"
"new","AE",48,"2006/2007",0,"sanjuan","train","peakinc"
"new","AE",48,"2006/2007",24.7311568122875,"sanjuan","train","seasoninc"
"new","LS",0,"2007/2008",-3.94636362154009,"sanjuan","train","peakweek"
"new","LS",0,"2007/2008",-4.29707208934484,"sanjuan","train","peakinc"
"new","LS",0,"2007/2008",-0.934179673927079,"sanjuan","train","seasoninc"
"new","AE",0,"2007/2008",5,"sanjuan","train","peakweek"
"new","AE",0,"2007/2008",107.819101844228,"sanjuan","train","peakinc"
"new","AE",0,"2007/2008",889.416985767368,"sanjuan","train","seasoninc"
"new","LS",4,"2007/2008",-4.60096873769109,"sanjuan","train","peakweek"
"new","LS",4,"2007/2008",-3.87967182273335,"sanjuan","train","peakinc"
"new","LS",4,"2007/2008",-0.533067503422435,"sanjuan","train","seasoninc"
"new","AE",4,"2007/2008",5,"sanjuan","train","peakweek"
"new","AE",4,"2007/2008",88.6278250577837,"sanjuan","train","peakinc"
"new","AE",4,"2007/2008",461.669635370311,"sanjuan","train","seasoninc"
