"team","metric.type","forecast.week","season","metric","location","data.type","prediction.target"
"new","AE",48,"2005/2006",0,"iquitos","train","peakinc"
"new","AE",48,"2005/2006",11.3885435828897,"iquitos","train","seasoninc"
"new","LS",0,"2006/2007",-3.52885017491575,"iquitos","train","peakweek"
"new","LS",0,"2006/2007",-0.263120771439504,"iquitos","train","peakinc"
"new","LS",0,"2006/2007",-1.87183849068903,"iquitos","train","seasoninc"
"new","AE",0,"2006/2007",6,"iquitos","train","peakweek"
"new","AE",0,"2006/2007",4.3767011660801,"iquitos","train","peakinc"
"new","AE",0,"2006/2007",133.703189913038,"iquitos","train","seasoninc"
"new","LS",4,"2006/2007",-3.7716378775659,"iquitos","train","peakweek"
"new","LS",4,"2006/2007",-0.177429875657847,"iquitos","train","peakinc"
"new","LS",4,"2006/2007",-1.73549802314825,"iquitos","train","seasoninc"
"new","AE",4,"2006/2007",2,"iquitos","train","peakweek"
"new","AE",4,"2006/2007",5.70741506121141,"iquitos","train","peakinc"
"new","AE",4,"2006/2007",121.65295557574,"iquitos","train","seasoninc"
"new","LS",8,"2006/2007",-3.73973397300831,"iquitos","train","peakweek"
"new","LS",8,"2006/2007",-0.114055860264461,"iquitos","train","peakinc"
"new","LS",8,"2006/2007",-2.36742177430116,"iquitos","train","seasoninc"
"new","AE",8,"2006/2007",3,"iquitos","train","peakweek"
"new","AE",8,"2006/2007",7.77036751168538,"iquitos","train","peakinc"
"new","AE",8,"2006/2007",161.247049813568,"iquitos","train","seasoninc"
"new","LS",12,"2006/2007",-3.72459753671602,"iquitos","train","peakweek"
"new","LS",12,"2006/2007",-0.236033862055744,"iquitos","train","peakinc"
"new","LS",12,"2006/2007",-1.55943247816862,"iquitos","train","seasoninc"
"new","AE",12,"2006/2007",3,"iquitos","train","peakweek"
"new","AE",12,"2006/2007",4.68293330636907,"iquitos","train","peakinc"
"new","AE",12,"2006/2007",104.455896003501,"iquitos","train","seasoninc"
"new","LS",16,"2006/2007",-3.247233858228,"iquitos","train","peakweek"
"new","LS",16,"2006/2007",-0.442191860757078,"iquitos","train","peakinc"
"new","LS",16,"2006/2007",-1.12337187301352,"iquitos","train","seasoninc"
"new","AE",16,"2006/2007",0,"iquitos","train","peakweek"
"new","AE",16,"2006/2007",1.74676331730048,"iquitos","train","peakinc"
"new","AE",16,"2006/2007",36.7012298798904,"iquitos","train","seasoninc"
"new","LS",20,"2006/2007",-4.08041661887999,"iquitos","train","peakweek"
"new","LS",20,"2006/2007",-0.145102942368627,"iquitos","train","peakinc"
"new","LS",20,"2006/2007",-1.81485306635783,"iquitos","train","seasoninc"
"new","AE",20,"2006/2007",6,"iquitos","train","peakweek"
