1928.3,1832.8,1830.2,1767.2,1765.9,1739,1792,1883.6,1864.2
1923.3,1823.1,1826,1764.2,1758.1,1739.5,1843.5,1874.8,1868.8
1917,1818.2,1818.4,1767,1749.7,1739.6,1897.4,1865.5,1873.8
1908.8,1810.5,1813.1,1766.9,1742.6,1735.9,1952.8,1860.5,1883.9
1907.6,1801.4,1811.5,1775.4,1731.7,1734.5,2020.4,1848.1,1907
1905.4,1796.3,1801.7,1779.1,1719.1,1733.5,2101.4,1834.5,1919
1900.9,1794,1792.5,1786.4,1708.1,1731,2239.8,1821.8,1950.7
1897.8,1799,1782.2,1804.6,1695.3,1735.9,2360.2,1808.9,1973.3
1891.2,1805.7,1768.5,1810.6,1679,1735.3,2470.5,1808.3,1974.7
1876.9,1805.3,1751,1824.1,1661.7,1734.9,2625.9,1793.8,1969.8
1875.2,1812.6,1731.9,1835,1643,1730.2,2828,1792.8,1979.8
1869.2,1833.8,1714.8,1850.9,1622,1726.2,3049.9,1790.7,1980.7
1848.8,1862.6,1699.8,1864.7,1600,1716.3,3211.2,1785.7,1989.9
1816.7,1900.5,1672.2,1862.8,1568,1697,3418.7,1780.6,1980
1789,1937.6,1640,1888.4,1535.1,1674.8,3621.6,1759.8,1987.2
1759.6,1978.1,1605.9,1921.2,1502.1,1684.5,3855.6,1754,2001.6
1725.5,2058.2,1570.9,1948.3,1460.6,1666.2,4039.2,1751.8,2018.6
1686,2133.4,1540.3,1993.5,1420.3,1662,4209.3,1754.7,2050.3
1647.2,2220.1,1499.5,2011.2,1377.9,1651.8,4394.8,1753.2,2073.9
1604.2,2301.1,1467.3,2069.9,1334.3,1639.5,4570.1,1762.2,2097.5
1560.7,2359.5,1427,2121,1289.5,1625,4709.7,1760.8,2126.2
1527.8,2383.9,1400.8,2164.3,1242.4,1601.4,4821.6,1761.1,2172.4
1467.6,2387.8,1346.4,2268.1,1190.4,1578.2,4874.1,1736.5,2236
1409.6,2358.8,1289.1,2336.2,1147.7,1547.7,4920.6,1720.4,2319.5
1349,2341.2,1228.6,2374.2,1122.6,1521.9,4952.5,1713.4,2414.9
1291.4,2326.5,1173.7,2376.6,1084.9,1501.2,4989.9,1688,2467.6
1235,2306.8,1119.3,2356.4,1051.8,1486.8,5030.3,1671.4,2564.8
1178.6,2283.1,1070.1,2339.1,1028.4,1469.7,5031.1,1638.1,2674
1110.1,2258.2,1023.7,2301.5,1002.9,1469.5,5014.9,1602.7,2805.2
1052.6,2218.5,969.56,2271.5,979.56,1461.4,4991.2,1573.1,2954
989.07,2173.3,926.12,2238.6,967.5,1476,4959,1531.5,3110.2
930.71,2138.8,874.81,2200.3,941.33,1481.2,4946,1506,3296
888.64,2100.5,844.94,2165.2,919.17,1491.2,4926.5,1481.5,3483.5
861.29,2077,815.87,2140.8,911.17,1490.6,4922.9,1465.1,3615.9
834.14,2048.7,794.31,2124.5,920.78,1518.7,4911.6,1450.3,3763.8
801.93,2021.6,765.94,2102.8,915.28,1551.5,4887.8,1439.6,3951.5
778.79,1995,739,2083.5,901,1564,4868.6,1429.4,4155.8
758.93,1976.5,725.62,2064.9,906.44,1582.2,4857.9,1413.1,4310.3
730.64,1962.1,704.12,2043.6,904.39,1612.2,4833.4,1393.9,4460.8
705.71,1940.8,684.19,2024.9,913.66,1650,4811.3,1380.8,4603.4
684.93,1922.4,671.94,2001.4,933.44,1671.7,4798.9,1365,4731.3
668.43,1907,662.5,1984.5,952.49,1719.8,4789.5,1350.1,4820
658.5,1888.7,657.37,1972.6,968.32,1774.8,4778.6,1336.8,4898.3
649,1874.9,655.36,1957.7,977.23,1816.2,4763.6,1332.8,4959.3
631.5,1860.5,650.92,1938.5,986.12,1849.6,4752.1,1330,5031.5
618.64,1844.5,647.91,1925.7,994,1875.1,4740.9,1332.6,5081.8
616.2,1833.2,655.28,1915.5,1007.4,1934.7,4727.3,1328.7,5128.3
605.11,1821.4,649.43,1905.5,1018.1,1971.6,4714.6,1322.7,5166
597.14,1811.7,640.37,1896.6,1015.9,2028.2,4706.9,1320,5197.5
592.46,1795.6,640.57,1877.1,1021.8,2040.6,4670.6,1312.2,5213
575.42,1754.7,621.48,1814.7,994.43,2019.4,4526.7,1274,5102
573,1788,629,1878,1035,2118,4696,1329,5283
